soc_code,accountability_responsibility,creativity_originality,physical_manual,social_perceptiveness,tool_technology,writing_intensity,norm_writing_intensity,norm_social_perceptiveness,norm_physical_manual,norm_creativity_originality,norm_tool_technology,norm_accountability_responsibility
33-3011,3.12,2.3266666666666667,2.348181818181818,4.037999999999999,1.9799999999999998,3.0525,0.3708010335917313,0.9289405684754521,0.4560723514211886,0.12661498708010335,0.2784237726098191,0.32751937984496127
33-3012,4.02,2.92,2.841818181818182,3.5879999999999996,2.31,3.3875,0.5516795865633075,0.7493540051679587,0.6744186046511628,0.45542635658914726,0.47997416020671835,0.8591731266149871
33-3021,3.5283333333333338,3.308888888888889,2.0345454545454547,3.505333333333333,2.4588888888888887,3.7608333333333337,0.8281653746770026,0.6963824289405685,0.3462532299741602,0.7041343669250646,0.6421188630490956,0.6059431524547804
33-3031,4.34,3.236666666666667,2.8027272727272727,4.002,2.3333333333333335,3.5075000000000003,0.6330749354005168,0.9121447028423773,0.6563307493540051,0.6666666666666666,0.5109819121447028,0.9509043927648578
33-3041,3.2199999999999998,2.4433333333333334,2.786363636363636,3.818,2.1266666666666665,3.2875,0.4935400516795866,0.8565891472868217,0.6472868217054264,0.1789405684754522,0.3578811369509044,0.38436692506459946
33-3051,4.225,2.9716666666666662,2.5895454545454544,4.018,2.486666666666667,3.72375,0.7945736434108527,0.9179586563307494,0.5529715762273901,0.4883720930232558,0.6724806201550387,0.9192506459948321
33-3052,3.845,3.1666666666666665,2.750909090909091,3.8939999999999997,2.263333333333333,3.7375,0.8133074935400517,0.8785529715762274,0.6330749354005168,0.6330749354005168,0.4418604651162791,0.7816537467700259
33-9011,4.135,3.033333333333333,2.6890909090909094,3.9200000000000004,1.9900000000000002,3.55,0.6718346253229974,0.8863049095607235,0.5943152454780362,0.5406976744186046,0.28294573643410853,0.8972868217054264
33-9021,3.48,3.16,1.8790909090909091,3.304,2.57,3.955,0.9521963824289406,0.5910852713178295,0.3016795865633075,0.627906976744186,0.7622739018087855,0.5762273901808785
33-9031,4.035,2.5566666666666666,1.9845454545454544,3.006,2.54,3.7275,0.7990956072351422,0.40633074935400515,0.3333333333333333,0.25,0.7215762273901809,0.8656330749354005
33-9032,3.3200000000000003,2.7566666666666664,2.4245454545454543,4.034000000000001,2.1166666666666667,3.365,0.5400516795865633,0.9237726098191215,0.4883720930232558,0.3365633074935401,0.3488372093023256,0.45671834625323
33-9091,3.88,2.03,2.208181818181818,3.064,1.3266666666666667,2.275,0.08010335917312661,0.43669250645994834,0.4082687338501292,0.031007751937984496,0.03617571059431524,0.8068475452196382
33-9092,4.07,2.2933333333333334,2.5890909090909093,3.768,1.5,2.8525,0.29198966408268734,0.8339793281653747,0.5516795865633075,0.12015503875968993,0.08785529715762273,0.8804909560723514
33-9093,3.74,2.38,2.86,3.2340000000000004,1.8333333333333333,2.7625,0.24160206718346253,0.5465116279069767,0.687984496124031,0.14857881136950904,0.22868217054263565,0.7299741602067183
33-9099,3.83,2.8533333333333335,2.2027272727272726,3.316,2.3833333333333333,3.5475,0.6686046511627907,0.601421188630491,0.40568475452196384,0.4114987080103359,0.5645994832041343,0.772609819121447
35-1011,3.54,3.4466666666666668,2.7954545454545454,3.4019999999999997,2.11,3.1025,0.39728682170542634,0.648578811369509,0.6550387596899225,0.7739018087855297,0.34108527131782945,0.6188630490956072
35-1012,2.87,2.9766666666666666,2.7354545454545454,3.5460000000000003,2.0766666666666667,3.2625,0.4844961240310077,0.725452196382429,0.6227390180878553,0.49224806201550386,0.3236434108527132,0.1789405684754522
35-2011,3.825,2.263333333333333,2.3554545454545455,2.4219999999999997,1.4633333333333336,2.11,0.046511627906976744,0.07816537467700259,0.46124031007751937,0.1111111111111111,0.07687338501291989,0.7687338501291989
35-2012,3.295,2.6166666666666667,2.5454545454545454,3.132,1.5466666666666669,2.7475,0.23449612403100775,0.4838501291989664,0.5400516795865633,0.2777777777777778,0.10012919896640828,0.4392764857881137
35-2013,3.02,3.3266666666666667,2.54,3.162,1.8033333333333335,2.94,0.3301033591731266,0.5006459948320413,0.5348837209302325,0.7183462532299741,0.22093023255813954,0.26744186046511625
35-2014,3.275,2.35,2.5090909090909093,2.0060000000000002,1.16,1.885,0.0103359173126615,0.00904392764857881,0.5180878552971576,0.1375968992248062,0.007751937984496124,0.42441860465116277
35-2015,2.515,2.18,2.3845454545454547,2.55,1.2566666666666666,1.8599999999999999,0.00904392764857881,0.12015503875968993,0.4715762273901809,0.07881136950904392,0.01937984496124031,0.04974160206718346
